#separator:Tab
#html:true
#tags column:5
#notetype:Georgian Essentials — Practical + Listening
#deck:Georgian - Essentials
#columns:Front	Back	Notes	Audio	Tags
Hello.	გამარჯობა.<br>[sound:ge_essentials_practical-2098838dff058eef.wav]	Reply: გაგიმარჯოს.		georgian audio courtesy core
Goodbye.	ნახვამდის.<br>[sound:ge_essentials_practical-b6a2deeb41e93461.wav]	კარგად is the casual everyday alternative.		georgian audio courtesy core
Thank you.	მადლობა.<br>[sound:ge_essentials_practical-550780b911afa88c.wav]	Formal: გმადლობთ.		georgian audio courtesy core
Thank you very much.	დიდი მადლობა.<br>[sound:ge_essentials_13-thanks.wav]			georgian audio courtesy core
Please. (with a request)	თუ შეიძლება.<br>[sound:ge_essentials_practical-a0adf3c22776749f.wav]	Goes after what you want: წყალი, თუ შეიძლება. გთხოვთ also works.		georgian audio courtesy core
Excuse me. / Sorry.	უკაცრავად.<br>[sound:ge_essentials_practical-f9b2d2a7ec4eff32.wav]	For getting attention or squeezing past; ბოდიში is the apology.		georgian audio courtesy core
Yes. (everyday)	კი.<br>[sound:ge_essentials_practical-4d0a270ad8036f57.wav]	Formal: დიახ.		georgian audio courtesy core
No.	არა.<br>[sound:ge_essentials_practical-d85ec87ffa8084c6.wav]			georgian audio courtesy core
No, thank you.	არა, მადლობა.<br>[sound:ge_essentials_practical-6443e7ab780611ae.wav]			georgian audio courtesy core
Okay. / All right.	კარგი.<br>[sound:ge_essentials_practical-ff500e27dc2a1471.wav]	Also the adjective good.		georgian audio courtesy core
I don&#x27;t understand.	არ მესმის.<br>[sound:ge_essentials_practical-41c8a9433193a1ce.wav]	Not knowing the answer is არ ვიცი.		georgian audio courtesy core
I don&#x27;t know.	არ ვიცი.<br>[sound:ge_essentials_practical-d0c69c232e81ab3b.wav]	Not following what was said is არ მესმის.		georgian audio courtesy core
Please speak slowly.	ნელა ილაპარაკეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-d4d8bb016721880a.wav]			georgian audio courtesy core
Please repeat.	გაიმეორეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-3856730f7bbbe15d.wav]			georgian audio courtesy core
Do you speak English? (polite)	ინგლისურად ლაპარაკობთ?<br>[sound:ge_essentials_practical-44c657c4340c8e1e.wav]	-ად marks the language spoken: ინგლისურად, ქართულად.		georgian audio courtesy core
I&#x27;m learning Georgian.	ქართულს ვსწავლობ.<br>[sound:ge_essentials_17-learning.wav]	ვსწავლობ takes ქართულს; ვლაპარაკობ takes ქართულად.		georgian audio courtesy core
Please write it down.	დამიწერეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-997cb0cbf1072ae4.wav]			georgian audio courtesy core
How much does this cost?	ეს რა ღირს?<br>[sound:ge_essentials_practical-e5754a5f38b26aac.wav]	რა ღირს? alone works while pointing.		georgian audio shopping core
How much is one kilo?	ერთი კილო რა ღირს?<br>[sound:ge_essentials_practical-e7a4b67439398749.wav]			georgian audio shopping core
Do you have bread?	პური გაქვთ?<br>[sound:ge_essentials_practical-1c164afaa0a93a00.wav]	Reusable: [item] + გაქვთ?		georgian audio shopping core
I would like this.	ეს მინდა.<br>[sound:ge_essentials_practical-ec5c2125fdd09a89.wav]	მინდა is not blunt here; add თუ შეიძლება to soften.		georgian audio shopping core
