# Front	Back	Notes	Tags
Здравствуйте.	გამარჯობა.	Ответ: გაგიმარჯოს.	courtesy core
Доброе утро.	დილა მშვიდობისა.		courtesy
Добрый вечер.	საღამო მშვიდობისა.		courtesy
До свидания.	ნახვამდის.	Попроще, на каждый день: კარგად.	courtesy core
Спасибо.	მადლობა.	Официально: გმადლობთ.	courtesy core
Большое спасибо.	დიდი მადლობა.		courtesy core
Пожалуйста. (при просьбе)	თუ შეიძლება.	Ставится после того, что просите: წყალი, თუ შეიძლება. Подходит и გთხოვთ.	courtesy core
Извините. (обратиться или пройти)	უკაცრავად.	Чтобы привлечь внимание или протиснуться мимо; извинение — ბოდიში.	courtesy core
Да. (обычное)	კი.	Официально: დიახ.	courtesy core
Нет.	არა.		courtesy core
Нет, спасибо.	არა, მადლობა.		courtesy core
Ладно. / Хорошо.	კარგი.	Также прилагательное «хороший».	courtesy core
Не за что.	არაფრის.		courtesy
Как у вас дела?	როგორ ხართ?	На «ты»: როგორ ხარ?	courtesy
У меня всё хорошо, спасибо.	კარგად ვარ, მადლობა.		courtesy
Меня зовут…	მე მქვია…	მე обычно опускают.	courtesy
Я не понимаю.	არ მესმის.	«Не знаю» — არ ვიცი.	courtesy core
Я не знаю.	არ ვიცი.	«Не понимаю» — არ მესმის.	courtesy core
Говорите, пожалуйста, медленнее.	ნელა ილაპარაკეთ, თუ შეიძლება.		courtesy core
Повторите, пожалуйста.	გაიმეორეთ, თუ შეიძლება.		courtesy core
Вы говорите по-английски?	ინგლისურად ლაპარაკობთ?	-ად — «по-…»: ინგლისურად, ქართულად.	courtesy core
Я немного говорю по-грузински.	ცოტა ქართულად ვლაპარაკობ.		courtesy
Я учу грузинский.	ქართულს ვსწავლობ.	Как в русском: учу грузинский — ქართულს ვსწავლობ, но говорю по-грузински — ქართულად ვლაპარაკობ.	courtesy core
Напишите, пожалуйста.	დამიწერეთ, თუ შეიძლება.		courtesy core
Что это значит?	ეს რას ნიშნავს?		courtesy
Как это сказать по-грузински?	ამას ქართულად როგორ ამბობენ?		courtesy
Минутку, пожалуйста.	ერთი წუთით, თუ შეიძლება.		courtesy
Вы слышите: ბოდიში.	Извините. / Простите.	Извинение; чтобы обратиться — უკაცრავად.	courtesy recognition
Вы слышите: დიახ.	Да.	Официально; в разговоре — კი.	courtesy recognition
Вы слышите: მობრძანდით.	Входите, пожалуйста. / Добро пожаловать.		courtesy recognition
