#separator:Tab
#html:true
#tags column:5
#notetype:Грузинский: самое нужное — практика + аудирование
#deck:Грузинский - Самое нужное
#columns:Front	Back	Notes	Audio	Tags
Здравствуйте.	გამარჯობა.<br>[sound:ge_essentials_practical-2098838dff058eef.wav]	Ответ: გაგიმარჯოს.		georgian audio courtesy core
До свидания.	ნახვამდის.<br>[sound:ge_essentials_practical-b6a2deeb41e93461.wav]	Попроще, на каждый день: კარგად.		georgian audio courtesy core
Спасибо.	მადლობა.<br>[sound:ge_essentials_practical-550780b911afa88c.wav]	Официально: გმადლობთ.		georgian audio courtesy core
Большое спасибо.	დიდი მადლობა.<br>[sound:ge_essentials_13-thanks.wav]			georgian audio courtesy core
Пожалуйста. (при просьбе)	თუ შეიძლება.<br>[sound:ge_essentials_practical-a0adf3c22776749f.wav]	Ставится после того, что просите: წყალი, თუ შეიძლება. Подходит и გთხოვთ.		georgian audio courtesy core
Извините. (обратиться или пройти)	უკაცრავად.<br>[sound:ge_essentials_practical-f9b2d2a7ec4eff32.wav]	Чтобы привлечь внимание или протиснуться мимо; извинение — ბოდიში.		georgian audio courtesy core
Да. (обычное)	კი.<br>[sound:ge_essentials_practical-4d0a270ad8036f57.wav]	Официально: დიახ.		georgian audio courtesy core
Нет.	არა.<br>[sound:ge_essentials_practical-d85ec87ffa8084c6.wav]			georgian audio courtesy core
Нет, спасибо.	არა, მადლობა.<br>[sound:ge_essentials_practical-6443e7ab780611ae.wav]			georgian audio courtesy core
Ладно. / Хорошо.	კარგი.<br>[sound:ge_essentials_practical-ff500e27dc2a1471.wav]	Также прилагательное «хороший».		georgian audio courtesy core
Я не понимаю.	არ მესმის.<br>[sound:ge_essentials_practical-41c8a9433193a1ce.wav]	«Не знаю» — არ ვიცი.		georgian audio courtesy core
Я не знаю.	არ ვიცი.<br>[sound:ge_essentials_practical-d0c69c232e81ab3b.wav]	«Не понимаю» — არ მესმის.		georgian audio courtesy core
Говорите, пожалуйста, медленнее.	ნელა ილაპარაკეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-d4d8bb016721880a.wav]			georgian audio courtesy core
Повторите, пожалуйста.	გაიმეორეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-3856730f7bbbe15d.wav]			georgian audio courtesy core
Вы говорите по-английски?	ინგლისურად ლაპარაკობთ?<br>[sound:ge_essentials_practical-44c657c4340c8e1e.wav]	-ად — «по-…»: ინგლისურად, ქართულად.		georgian audio courtesy core
Я учу грузинский.	ქართულს ვსწავლობ.<br>[sound:ge_essentials_17-learning.wav]	Как в русском: учу грузинский — ქართულს ვსწავლობ, но говорю по-грузински — ქართულად ვლაპარაკობ.		georgian audio courtesy core
Напишите, пожалуйста.	დამიწერეთ, თუ შეიძლება.<br>[sound:ge_essentials_practical-997cb0cbf1072ae4.wav]			georgian audio courtesy core
Сколько это стоит?	ეს რა ღირს?<br>[sound:ge_essentials_practical-e5754a5f38b26aac.wav]	Показывая пальцем, хватит и რა ღირს?		georgian audio shopping core
Сколько стоит килограмм?	ერთი კილო რა ღირს?<br>[sound:ge_essentials_practical-e7a4b67439398749.wav]			georgian audio shopping core
У вас есть хлеб?	პური გაქვთ?<br>[sound:ge_essentials_practical-1c164afaa0a93a00.wav]	Шаблон: [товар] + გაქვთ?		georgian audio shopping core
Я хочу вот это.	ეს მინდა.<br>[sound:ge_essentials_practical-ec5c2125fdd09a89.wav]	მინდა здесь не грубо; для мягкости добавьте თუ შეიძლება.		georgian audio shopping core
