# Front	Back	Notes	Tags
Hello.	გამარჯობა.	Reply: გაგიმარჯოს.	courtesy core
Good morning.	დილა მშვიდობისა.		courtesy
Good evening.	საღამო მშვიდობისა.		courtesy
Goodbye.	ნახვამდის.	კარგად is the casual everyday alternative.	courtesy core
Thank you.	მადლობა.	Formal: გმადლობთ.	courtesy core
Thank you very much.	დიდი მადლობა.		courtesy core
Please. (with a request)	თუ შეიძლება.	Goes after what you want: წყალი, თუ შეიძლება. გთხოვთ also works.	courtesy core
Excuse me. / Sorry.	უკაცრავად.	For getting attention or squeezing past; ბოდიში is the apology.	courtesy core
Yes. (everyday)	კი.	Formal: დიახ.	courtesy core
No.	არა.		courtesy core
No, thank you.	არა, მადლობა.		courtesy core
Okay. / All right.	კარგი.	Also the adjective good.	courtesy core
You're welcome.	არაფრის.		courtesy
How are you? (polite)	როგორ ხართ?	Informal singular: როგორ ხარ?	courtesy
I'm well, thank you.	კარგად ვარ, მადლობა.		courtesy
My name is…	მე მქვია…	Literally: I am called. მე is usually dropped.	courtesy
I don't understand.	არ მესმის.	Not knowing the answer is არ ვიცი.	courtesy core
I don't know.	არ ვიცი.	Not following what was said is არ მესმის.	courtesy core
Please speak slowly.	ნელა ილაპარაკეთ, თუ შეიძლება.		courtesy core
Please repeat.	გაიმეორეთ, თუ შეიძლება.		courtesy core
Do you speak English? (polite)	ინგლისურად ლაპარაკობთ?	-ად marks the language spoken: ინგლისურად, ქართულად.	courtesy core
I speak a little Georgian.	ცოტა ქართულად ვლაპარაკობ.		courtesy
I'm learning Georgian.	ქართულს ვსწავლობ.	ვსწავლობ takes ქართულს; ვლაპარაკობ takes ქართულად.	courtesy core
Please write it down.	დამიწერეთ, თუ შეიძლება.		courtesy core
What does this mean?	ეს რას ნიშნავს?		courtesy
How do you say this in Georgian?	ამას ქართულად როგორ ამბობენ?		courtesy
One moment, please.	ერთი წუთით, თუ შეიძლება.		courtesy
You hear: ბოდიში.	Sorry. / My apologies.	An apology; უკაცრავად is for getting attention.	courtesy recognition
You hear: დიახ.	Yes.	Formal; კი in everyday speech.	courtesy recognition
You hear: მობრძანდით.	Please come in. / Welcome.		courtesy recognition
How much does this cost?	ეს რა ღირს?	რა ღირს? alone works while pointing.	shopping core
How much is one kilo?	ერთი კილო რა ღირს?		shopping core
Do you have bread?	პური გაქვთ?	Reusable: [item] + გაქვთ?	shopping core
I would like this.	ეს მინდა.	მინდა is not blunt here; add თუ შეიძლება to soften.	shopping core
One kilo of tomatoes, please.	ერთი კილო პომიდორი, თუ შეიძლება.		shopping core
Half a kilo of cheese, please.	ნახევარი კილო ყველი, თუ შეიძლება.		shopping core
Two of these, please.	ორი ცალი, თუ შეიძლება.	ცალი counts individual items.	shopping core
A little more, please.	ცოტა მეტი, თუ შეიძლება.		shopping
A little less, please.	ცოტა ნაკლები, თუ შეიძლება.	მეტი = more, ნაკლები = less.	shopping
That's enough, thank you.	საკმარისია, მადლობა.		shopping core
Can I taste it?	შეიძლება გავსინჯო?		shopping
Is it fresh?	ახალია?	ახალი = new or fresh.	shopping
Is it sweet?	ტკბილია?		shopping
It's expensive.	ძვირია.	-ია is 'is': ძვირი + არის → ძვირია. Same in ტკბილია, ცხარეა, გემრიელია.	shopping
Can you lower the price?	ფასს დამიკლებთ?		shopping
Do you have a cheaper one?	უფრო იაფი გაქვთ?	უფრო + adjective = more/-er: უფრო იაფი, უფრო დიდი.	shopping
